decibel,timestamp,location
74.0,2026-03-30 17:09:17.070,University Center
72.2,2026-03-30 17:09:17.280,University Center
70.6,2026-03-30 17:09:17.490,University Center
72.4,2026-03-30 17:09:17.700,University Center
70.6,2026-03-30 17:09:17.910,University Center
74.9,2026-03-30 17:09:18.120,University Center
74.7,2026-03-30 17:09:18.330,University Center
75.9,2026-03-30 17:09:18.540,University Center
73.9,2026-03-30 17:09:18.750,University Center
72.5,2026-03-30 17:09:18.960,University Center
70.9,2026-03-30 17:09:19.170,University Center
73.6,2026-03-30 17:09:19.380,University Center
73.2,2026-03-30 17:09:19.590,University Center
71.6,2026-03-30 17:09:19.800,University Center
72.0,2026-03-30 17:09:20.010,University Center
72.3,2026-03-30 17:09:20.220,University Center
71.8,2026-03-30 17:09:20.430,University Center
74.3,2026-03-30 17:09:20.640,University Center
73.3,2026-03-30 17:09:20.850,University Center
71.8,2026-03-30 17:09:21.060,University Center
73.9,2026-03-30 17:09:21.270,University Center
75.5,2026-03-30 17:09:21.480,University Center
49.8,2026-03-30 17:18:51.187,Library
49.9,2026-03-30 17:18:51.396,Library
50.8,2026-03-30 17:18:51.607,Library
52.0,2026-03-30 17:18:51.817,Library
52.9,2026-03-30 17:18:52.027,Library
50.1,2026-03-30 17:18:52.237,Library
50.0,2026-03-30 17:18:52.447,Library
48.7,2026-03-30 17:18:52.657,Library
50.4,2026-03-30 17:18:52.867,Library
52.3,2026-03-30 17:18:53.077,Library
52.5,2026-03-30 17:18:53.287,Library
51.9,2026-03-30 17:18:53.497,Library
53.4,2026-03-30 17:18:53.707,Library
53.8,2026-03-30 17:18:53.917,Library
53.8,2026-03-30 17:18:54.127,Library
53.8,2026-03-30 17:18:54.337,Library
52.1,2026-03-30 17:18:54.546,Library
50.1,2026-03-30 17:18:54.757,Library
49.6,2026-03-30 17:18:54.967,Library
51.1,2026-03-30 17:18:55.177,Library
50.8,2026-03-30 17:18:55.387,Library
50.1,2026-03-30 17:18:55.597,Library
50.6,2026-03-30 17:18:55.807,Library
49.1,2026-03-30 17:18:56.017,Library
52.1,2026-03-30 17:18:56.227,Library
51.9,2026-03-30 17:18:56.437,Library
50.3,2026-03-30 17:18:56.647,Library
48.2,2026-03-30 17:18:56.856,Library
51.1,2026-03-30 17:18:57.067,Library
48.8,2026-03-30 17:18:57.277,Library
50.0,2026-03-30 17:18:57.487,Library
51.7,2026-03-30 17:18:57.697,Library
49.2,2026-03-30 17:18:57.907,Library
49.4,2026-03-30 17:18:58.117,Library
47.5,2026-03-30 17:18:58.327,Library
49.5,2026-03-30 17:18:58.537,Library
50.7,2026-03-30 17:18:58.747,Library
50.0,2026-03-30 17:18:58.957,Library
49.7,2026-03-30 17:18:59.167,Library
49.2,2026-03-30 17:18:59.377,Library
48.9,2026-03-30 17:18:59.586,Library
54.4,2026-03-30 17:18:59.797,Library
50.6,2026-03-30 17:19:00.007,Library
51.9,2026-03-30 17:19:00.217,Library
50.0,2026-03-30 17:19:00.426,Library
51.6,2026-03-30 17:19:00.636,Library
50.0,2026-03-30 17:19:00.847,Library
48.5,2026-03-30 17:19:01.056,Library
51.2,2026-03-30 17:19:01.267,Library
48.5,2026-03-30 17:19:01.477,Library
51.1,2026-03-30 17:19:01.686,Library
52.2,2026-03-30 17:19:01.896,Library
62.3,2026-03-30 17:19:02.106,Library
57.5,2026-03-30 17:19:02.317,Library
56.0,2026-03-30 17:19:02.527,Library
51.6,2026-03-30 17:19:02.737,Library
52.8,2026-03-30 17:19:02.947,Library
52.5,2026-03-30 17:19:03.156,Library
51.0,2026-03-30 17:19:03.367,Library
51.3,2026-03-30 17:19:03.576,Library
50.2,2026-03-30 17:19:03.787,Library
51.5,2026-03-30 17:19:03.997,Library
50.1,2026-03-30 17:19:04.207,Library
51.4,2026-03-30 17:19:04.416,Library
50.4,2026-03-30 17:19:04.627,Library
49.4,2026-03-30 17:19:04.837,Library
49.1,2026-03-30 17:19:05.047,Library
50.5,2026-03-30 17:19:05.256,Library
51.6,2026-03-30 17:19:05.467,Library
52.7,2026-03-30 17:19:05.676,Library
49.9,2026-03-30 17:19:05.886,Library
50.5,2026-03-30 17:19:06.097,Library
52.2,2026-03-30 17:19:06.307,Library
53.5,2026-03-30 17:19:06.516,Library
54.5,2026-03-30 17:19:06.726,Library
51.7,2026-03-30 17:19:06.936,Library
55.9,2026-03-30 17:19:07.147,Library
54.0,2026-03-30 17:19:07.356,Library
52.1,2026-03-30 17:19:07.567,Library
54.6,2026-03-30 17:19:07.776,Library
52.1,2026-03-30 17:19:07.986,Library
52.3,2026-03-30 17:19:08.196,Library
48.6,2026-03-30 17:19:08.406,Library
49.8,2026-03-30 17:19:08.616,Library
49.2,2026-03-30 17:19:08.826,Library
50.2,2026-03-30 17:19:09.036,Library
51.4,2026-03-30 17:19:09.247,Library
49.6,2026-03-30 17:19:09.456,Library
49.6,2026-03-30 17:19:09.666,Library
50.5,2026-03-30 17:19:09.876,Library
50.5,2026-03-30 17:19:10.086,Library
51.9,2026-03-30 17:19:10.296,Library
48.7,2026-03-30 17:19:10.506,Library
48.8,2026-03-30 17:19:10.716,Library
51.4,2026-03-30 17:19:10.926,Library
50.2,2026-03-30 17:19:11.136,Library
50.1,2026-03-30 17:19:11.346,Library
48.7,2026-03-30 17:19:11.556,Library
50.0,2026-03-30 17:19:11.766,Library
48.7,2026-03-30 17:19:11.976,Library
52.4,2026-03-30 17:19:12.186,Library
51.5,2026-03-30 17:19:12.396,Library
49.9,2026-03-30 17:19:12.606,Library
49.8,2026-03-30 17:19:12.817,Library
51.4,2026-03-30 17:19:13.026,Library
51.3,2026-03-30 17:19:13.236,Library
51.0,2026-03-30 17:19:13.446,Library
53.0,2026-03-30 17:19:13.656,Library
50.4,2026-03-30 17:19:13.866,Library
51.7,2026-03-30 17:19:14.076,Library
51.6,2026-03-30 17:19:14.286,Library
49.6,2026-03-30 17:19:14.496,Library
50.9,2026-03-30 17:19:14.706,Library
53.9,2026-03-30 17:19:14.916,Library
52.7,2026-03-30 17:19:15.126,Library
54.6,2026-03-30 17:19:15.336,Library
54.2,2026-03-30 17:19:15.546,Library
50.1,2026-03-30 17:19:15.756,Library
48.9,2026-03-30 17:19:15.967,Library
49.2,2026-03-30 17:19:16.176,Library
48.6,2026-03-30 17:19:16.386,Library
48.4,2026-03-30 17:19:16.596,Library
47.6,2026-03-30 17:19:16.806,Library
46.6,2026-03-30 17:19:17.016,Library
46.9,2026-03-30 17:19:17.226,Library
48.3,2026-03-30 17:19:17.436,Library
48.2,2026-03-30 17:19:17.646,Library
48.1,2026-03-30 17:19:17.856,Library
50.6,2026-03-30 17:19:18.066,Library
48.7,2026-03-30 17:19:18.276,Library
48.0,2026-03-30 17:19:18.486,Library
47.3,2026-03-30 17:19:18.696,Library
48.1,2026-03-30 17:19:18.906,Library
48.2,2026-03-30 17:19:19.117,Library
48.4,2026-03-30 17:19:19.326,Library
47.8,2026-03-30 17:19:19.536,Library
47.0,2026-03-30 17:19:19.746,Library
48.3,2026-03-30 17:19:19.956,Library
51.4,2026-03-30 17:19:20.167,Library
49.5,2026-03-30 17:19:20.376,Library
51.4,2026-03-30 17:19:20.586,Library
49.1,2026-03-30 17:19:20.796,Library
55.6,2026-03-30 17:27:08.536,Commons
59.1,2026-03-30 17:27:08.746,Commons
59.8,2026-03-30 17:27:08.956,Commons
61.5,2026-03-30 17:27:09.166,Commons
55.4,2026-03-30 17:27:09.376,Commons
53.8,2026-03-30 17:27:09.586,Commons
53.0,2026-03-30 17:27:09.796,Commons
53.0,2026-03-30 17:27:10.006,Commons
52.0,2026-03-30 17:27:10.216,Commons
52.0,2026-03-30 17:27:10.426,Commons
56.9,2026-03-30 17:27:10.636,Commons
62.5,2026-03-30 17:27:10.846,Commons
65.4,2026-03-30 17:27:11.056,Commons
63.9,2026-03-30 17:27:11.266,Commons
61.2,2026-03-30 17:27:11.476,Commons
64.9,2026-03-30 17:27:11.686,Commons
66.3,2026-03-30 17:27:11.896,Commons
63.5,2026-03-30 17:27:12.106,Commons
65.9,2026-03-30 17:27:12.316,Commons
64.4,2026-03-30 17:27:12.526,Commons
59.3,2026-03-30 17:27:12.736,Commons
60.6,2026-03-30 17:27:12.946,Commons
62.6,2026-03-30 17:27:13.156,Commons
61.2,2026-03-30 17:27:13.366,Commons
61.0,2026-03-30 17:27:13.576,Commons
60.3,2026-03-30 17:27:13.786,Commons
62.6,2026-03-30 17:27:13.996,Commons
59.5,2026-03-30 17:27:14.206,Commons
59.8,2026-03-30 17:27:14.416,Commons
66.6,2026-03-30 17:27:14.626,Commons
74.1,2026-03-30 17:27:14.836,Commons
70.2,2026-03-30 17:27:15.046,Commons
64.2,2026-03-30 17:27:15.256,Commons
70.6,2026-03-30 17:27:15.466,Commons
72.5,2026-03-30 17:27:15.676,Commons
68.4,2026-03-30 17:27:15.886,Commons
67.8,2026-03-30 17:27:16.096,Commons
64.7,2026-03-30 17:27:16.306,Commons
62.2,2026-03-30 17:27:16.516,Commons
62.6,2026-03-30 17:27:16.726,Commons
63.3,2026-03-30 17:27:16.936,Commons
64.5,2026-03-30 17:27:17.146,Commons
68.1,2026-03-30 17:27:17.356,Commons
71.2,2026-03-30 17:27:17.566,Commons
71.0,2026-03-30 17:27:17.776,Commons
71.1,2026-03-30 17:27:17.986,Commons
71.6,2026-03-30 17:27:18.196,Commons
69.5,2026-03-30 17:27:18.406,Commons
68.3,2026-03-30 17:27:18.616,Commons
63.7,2026-03-30 17:27:18.826,Commons
64.9,2026-03-30 17:27:19.036,Commons
66.4,2026-03-30 17:27:19.246,Commons
63.6,2026-03-30 17:27:19.456,Commons
64.2,2026-03-30 17:27:19.666,Commons
66.9,2026-03-30 17:27:19.876,Commons
70.7,2026-03-30 17:27:20.086,Commons
73.8,2026-03-30 17:27:20.296,Commons
68.5,2026-03-30 17:27:20.506,Commons
73.2,2026-03-30 17:27:20.716,Commons
72.0,2026-03-30 17:27:20.926,Commons
67.3,2026-03-30 17:27:21.136,Commons
69.3,2026-03-30 17:27:21.346,Commons
68.1,2026-03-30 17:27:21.556,Commons
75.6,2026-03-30 17:27:21.766,Commons
75.3,2026-03-30 17:27:21.976,Commons
72.2,2026-03-30 17:27:22.186,Commons
64.5,2026-03-30 17:27:22.396,Commons
64.5,2026-03-30 17:27:22.606,Commons
63.5,2026-03-30 17:27:22.816,Commons
65.1,2026-03-30 17:27:23.026,Commons
64.9,2026-03-30 17:27:23.236,Commons
63.4,2026-03-30 17:27:23.446,Commons
67.5,2026-03-30 17:27:23.656,Commons
74.2,2026-03-30 17:27:23.865,Commons
73.0,2026-03-30 17:27:24.076,Commons
66.7,2026-03-30 17:27:24.286,Commons
69.8,2026-03-30 17:27:24.496,Commons
63.8,2026-03-30 17:27:24.706,Commons
64.3,2026-03-30 17:27:24.916,Commons
70.4,2026-03-30 17:27:25.125,Commons
69.5,2026-03-30 17:27:25.336,Commons
72.4,2026-03-30 17:27:25.546,Commons
67.2,2026-03-30 17:27:25.756,Commons
67.0,2026-03-30 17:27:25.965,Commons
66.9,2026-03-30 17:27:26.176,Commons
65.8,2026-03-30 17:27:26.386,Commons
66.1,2026-03-30 17:27:26.596,Commons
